sample_index,latitude,longitude,cluster_label
609514,48.265373,108.03448,0
613519,31.609009,107.20929,0
614729,29.874416,115.103294,0
615190,31.725735,115.298,0
616189,44.327396,125.79814,0
616636,21.850431,134.28595,0
618218,28.009676,131.60875,0
618419,27.7563,132.25697,0
621291,36.3984,126.7288,0
621786,45.318558,134.10242,0
622432,34.26366,113.69926,0
624775,27.473248,125.599106,0
626038,51.80638,129.7382,0
627061,48.40382,133.39153,0
627381,20.537369,129.5064,0
628312,23.279533,113.71178,0
631806,34.114918,110.8293,0
633119,25.864862,115.66186,0
634207,45.89916,124.835205,0
635587,28.531475,128.98282,0
636230,32.429565,129.9946,0
636431,32.55895,130.8526,0
636885,38.409504,115.68498,0
637135,38.129303,116.496086,0
637179,37.933525,116.305145,0
638477,27.650543,119.57321,0
638956,46.168793,133.16568,0
638983,46.190052,133.43266,0
639177,28.223396,131.94794,0
639303,15.188075,131.1234,0
641142,27.275614,117.33991,0
642174,51.374187,134.98172,0
642249,29.985893,122.42108,0
644506,42.1074,115.20011,0
644751,31.444508,123.04366,0
646669,30.524738,132.0983,0
648295,53.908546,106.991005,0
649728,50.724056,126.30806,0
650093,43.681694,123.61045,0
651372,38.29284,127.53861,0
651433,37.851448,128.45717,0
652154,49.01832,132.55891,0
653162,29.645077,127.32411,0
655447,51.890587,130.31326,0
655458,52.243973,129.72453,0
657308,22.301342,114.92208,0
658908,48.603653,134.10808,0
659006,47.586483,130.3875,0
659925,29.795689,128.63498,0
664278,45.112087,126.405556,0
666601,45.29867,134.7605,0
668466,46.833733,134.05708,0
668504,46.659935,134.77776,0
669043,42.01867,114.341675,0
669212,27.596684,123.91452,0
669969,27.819468,133.15982,0
670519,27.864033,106.09194,0
672623,27.54523,128.89648,0
673799,23.765532,130.90616,0
673857,25.114614,132.34184,0
674145,24.551477,106.4014,0
674154,24.354301,106.00854,0
677099,16.222914,118.04676,0
677607,16.502409,127.81511,0
677974,53.3269,116.34672,0
679276,24.592493,116.74502,0
679341,24.875362,116.670044,0
680056,18.671284,121.78234,0
680936,33.25547,127.4658,0
681838,28.771042,129.14236,0
682642,19.79831,134.8938,0
685218,24.132483,116.97547,0
685942,28.160837,113.20688,0
687208,32.49643,123.08029,0
687467,32.71851,124.1189,0
687977,33.72291,124.998856,0
688868,36.841274,125.53998,0
690438,35.53012,111.016655,0
690622,37.472897,134.66841,0
691503,48.644466,105.502045,0
692252,41.01843,113.2465,0
692933,51.334236,114.59295,0
693829,44.38274,129.38104,0
695215,45.114872,106.58896,0
695978,32.24537,115.52871,0
698269,42.138245,118.16685,0
699136,27.637081,127.194084,0
699431,53.654675,122.759834,0
699562,53.45936,123.7051,0
700195,51.400505,132.09473,0
703293,29.241634,117.97874,0
704366,27.952023,118.65996,0
705190,49.875523,114.107346,0
705426,42.79085,120.96755,0
705541,30.808502,129.52951,0
710351,50.835163,119.36445,0
710537,48.4895,124.27327,0
711036,45.603,127.02971,0
712151,46.253017,128.58214,0
712296,25.929844,105.119354,0
712343,26.130713,105.22345,0
712637,27.02175,105.97339,0
712957,28.393139,105.97456,0
715000,29.147043,129.5273,0
715999,31.634974,131.5901,0
716712,50.81793,105.66739,0
716916,27.201727,124.271126,0
717436,19.954687,127.586754,0
718710,26.617348,113.71536,0
719419,53.13062,118.03459,0
720231,28.928719,108.929955,0
723277,32.834717,129.61713,0
723812,31.519442,130.05142,0
724025,30.989927,130.42656,0
727146,42.02293,117.68052,0
727225,41.722694,117.42191,0
728334,24.306599,128.45029,0
729376,28.48751,117.23233,0
732597,25.938921,106.54514,0
733961,53.557945,108.91065,0
734968,31.161703,132.78632,0
737070,49.828167,116.72967,0
737701,47.739464,120.61523,0
739185,34.043438,130.81711,0
739284,33.860508,131.37173,0
742722,30.47793,128.0287,0
745279,24.539087,109.4455,0
745666,25.930794,109.88148,0
745691,26.37741,109.448326,0
747024,32.6088,134.92293,0
747301,41.488323,105.15922,0
748586,29.984184,111.88981,0
749206,30.825127,120.35014,0
750235,18.441679,112.522575,0
750319,49.8832,114.19951,0
750514,33.895054,127.28812,0
752683,31.86001,114.88282,0
752750,31.56855,115.72238,0
752881,31.981853,115.491974,0
753715,19.29936,132.10172,0
755212,16.137224,122.18467,0
755419,49.846718,121.880745,0
755924,49.310337,123.09333,0
756738,29.66985,123.9399,0
756748,29.88236,124.46016,0
760577,32.696644,134.58134,0
761404,26.369656,110.96523,0
761474,26.235415,111.202286,0
761660,25.980097,111.50014,0
765655,29.739153,127.0189,0
766825,35.752014,134.5558,0
767162,16.653471,130.72964,0
768920,49.268665,130.3492,0
769486,51.888714,132.57986,0
769945,53.551746,134.5319,0
770286,38.171455,110.16412,0
772117,23.106985,118.70305,0
772505,16.230183,124.201416,0
773680,26.487125,109.965805,0
777136,53.460094,133.8495,0
780230,49.69927,131.51231,0
780629,49.752617,133.22336,0
785091,44.475822,130.06056,0
785786,21.016018,107.36236,0
786549,48.889103,124.17473,0
786615,48.487617,125.28931,0
787420,27.155119,127.718285,0
787466,26.909458,127.73453,0
788561,16.347836,118.217964,0
789215,43.942295,127.99468,0
790283,49.029255,112.36174,0
790826,46.30112,115.67567,0
790912,46.07737,115.98734,0
791286,27.996698,106.080795,0
792015,51.0474,133.86049,0
792123,49.696575,134.68379,0
793050,16.736383,105.80643,0
793724,19.385206,107.6136,0
797521,36.366962,118.67626,0
797687,35.772606,118.49793,0
798620,40.1303,115.69821,0
800305,15.999671,123.146164,0
800670,16.831882,123.25575,0
800697,16.759853,123.52742,0
800843,17.887291,124.07571,0
802202,31.289988,131.14603,0
802215,31.587938,130.6132,0
802217,31.545158,130.70676,0
803043,32.741028,131.72008,0
804216,35.04835,132.8681,0
804949,29.92159,130.99956,0
806702,29.927355,116.00188,0
806789,42.22284,124.18358,0
809248,17.694855,118.10964,0
814978,30.76143,125.1279,0
816885,53.56342,111.16848,0
817660,36.576008,129.71004,0
818032,35.746346,129.8266,0
818455,35.087696,130.26994,0
818629,34.849865,130.61787,0
819659,29.507782,118.4604,0
819978,31.399496,118.616035,0
820087,31.77112,119.01162,0
823996,16.429743,119.71612,0
824157,16.49104,120.348236,0
824529,17.823015,120.98677,0
826660,26.171768,129.55441,0
826717,26.451454,130.41357,0
828453,22.64597,132.082,0
828624,21.896873,131.58478,0
829212,20.439404,132.38289,0
829454,20.033092,132.57211,0
829653,46.22223,124.98316,0
830275,20.310368,107.48929,0
831196,23.557173,109.25508,0
831278,23.88061,109.09298,0
832342,21.89077,131.12503,0
833495,34.74193,119.869286,0
833498,34.52278,119.443924,0
835154,16.291513,114.021515,0
839581,36.46723,124.53215,0
839948,50.415535,128.32138,0
841133,24.99747,127.24865,0
842355,44.06708,123.34761,0
843192,21.836533,134.55481,0
843367,40.144985,123.66381,0
843820,39.186546,124.68288,0
844104,32.632496,129.92157,0
844338,31.866028,129.8345,0
845074,24.759502,111.70652,0
845263,48.221615,128.31505,0
846043,50.712227,132.10815,0
846192,48.59552,107.32458,0
847495,45.26821,105.65809,0
852331,30.640871,132.6431,0
853297,28.731249,134.42572,0
853558,28.251898,134.68697,0
855589,28.603458,110.433914,0
856099,27.03043,111.85431,0
856407,18.193901,115.50218,0
857223,17.039099,117.096985,0
857317,16.521055,116.352806,0
859854,22.685545,113.431404,0
859959,26.11847,115.90219,0
860142,27.857136,116.99388,0
861264,23.098806,131.09558,0
862375,20.768082,109.247925,0
864901,39.879417,109.08973,0
865849,34.162968,109.341415,0
866380,19.847786,118.14296,0
866982,16.63302,118.90843,0
